input_metric,output_metric,corr,abs_corr,n_obs
cop_annual_mean,storage_power_hydrogen_storage_mw,-0.1739061463138059,0.1739061463138059,86
elec_for_heat_annual_mwh,curtailment_PV_ground_mwh,0.1737213342908945,0.1737213342908945,86
heat_demand_peak_mw,cap_gen_Natural gas_mw,0.17297236694466914,0.17297236694466914,86
heat_demand_annual_mwh,curtailment_PV_ground_mwh,0.17085683800517132,0.17085683800517132,86
cop_annual_mean,storage_power_hydrogen_storage_other_mw,-0.1702783241822532,0.1702783241822532,86
cf_vres_combined_winter,curtailment_wind_share,-0.16929383275048315,0.16929383275048315,86
cold_stress_hours_cop_lt2,transmission_mean_utilisation,0.1687306391320116,0.1687306391320116,86
cop_annual_mean,cap_gen_Natural gas_mw,-0.16825482427741578,0.16825482427741578,86
dark_doldrums_hours,cap_gen_Natural gas_mw,0.16666612212261403,0.16666612212261403,86
stress_persistence_block,electrolyser_total_mw,0.1639819625266066,0.1639819625266066,86
stress_energy_block,curtailment_wind_mwh,0.16281033687477284,0.16281033687477284,86
dark_doldrums_hours,curtailment_wind_offshore_share,-0.15944212367633917,0.15944212367633917,86
stress_energy_block,storage_power_flow_mw,-0.15877155417182073,0.15877155417182073,86
elec_for_heat_annual_mwh,storage_power_flow_mw,-0.1577249827328541,0.1577249827328541,86
heat_demand_annual_mwh,storage_power_flow_mw,-0.157520592863911,0.157520592863911,86
elec_for_heat_annual_mwh,cap_gen_Natural gas_mw,0.1570567720728076,0.1570567720728076,86
wind_drought_max_hours,gen_PV ground_mwh,0.1543296242316879,0.1543296242316879,86
heat_demand_annual_mwh,cap_gen_Natural gas_mw,0.1530434522094261,0.1530434522094261,86
stress_persistence_block,gen_wind_mwh,-0.15065082877980987,0.15065082877980987,86
stress_persistence_block,curtailment_wind_offshore_mwh,-0.14913339292530836,0.14913339292530836,86
stress_score,curtailment_wind_offshore_share,-0.1482763796046166,0.1482763796046166,86
wind_drought_max_hours,cap_gen_Natural gas_mw,0.14609360391294912,0.14609360391294912,86
cop_winter_mean,gen_wind offshore_mwh,0.1457056186493037,0.1457056186493037,86
cop_winter_mean,curtailment_wind_offshore_mwh,0.14342125673032433,0.14342125673032433,86
heat_demand_annual_mwh,storage_power_hydrogen_storage_mw,0.1428851427020785,0.1428851427020785,86
stress_persistence_block,storage_power_hydrogen_storage_mw,0.14259515735842274,0.14259515735842274,86
wind_drought_max_hours,curtailment_wind_offshore_share,0.14169391120251432,0.14169391120251432,86
stress_persistence_block,h2_pipeline_total_mw,0.14165461193434636,0.14165461193434636,86
wind_drought_max_hours,cap_gen_PV ground_mw,0.14123055067471835,0.14123055067471835,86
cf_vres_combined_winter,storage_power_hydrogen_storage_other_mw,-0.14107715679291363,0.14107715679291363,86
cop_annual_mean,storage_power_flow_mw,0.13865208600518047,0.13865208600518047,86
elec_for_heat_annual_mwh,storage_power_hydrogen_storage_mw,0.13864520592447158,0.13864520592447158,86
heat_demand_peak_mw,electrolyser_total_mw,0.1382186138765383,0.1382186138765383,86
stress_peak_block,electrolyser_total_mw,0.13798479761278046,0.13798479761278046,86
elec_for_heat_peak_mw,electrolyser_total_mw,0.1377183376847259,0.1377183376847259,86
cop_annual_mean,gen_PV ground_mwh,-0.1370182894354878,0.1370182894354878,86
cf_vres_combined_annual,curtailment_wind_mwh,-0.13701496378233624,0.13701496378233624,86
stress_persistence_block,heat_pump_total_mw,0.13696031414415255,0.13696031414415255,86
cf_vres_combined_winter,transmission_peak_utilisation,-0.1363272408255846,0.1363272408255846,86
cop_winter_mean,h2_network_abs_flow_mwh,-0.13522608119675714,0.13522608119675714,86
cop_annual_mean,gen_wind_mwh,-0.13406740284114202,0.13406740284114202,86
stress_score,storage_power_hydrogen_storage_mw,0.13305857682313885,0.13305857682313885,86
elec_for_heat_annual_mwh,curtailment_share_pu,-0.13280324459661008,0.13280324459661008,86
heat_demand_annual_mwh,curtailment_share_pu,-0.13149099301996275,0.13149099301996275,86
cop_annual_mean,curtailment_PV_ground_share,-0.1294928760999164,0.1294928760999164,86
cop_winter_mean,h2_pipeline_total_mw,-0.12921151992437085,0.12921151992437085,86
cop_winter_mean,curtailment_share_pu,0.12796013838116385,0.12796013838116385,86
cop_annual_mean,curtailment_share_pu,0.12596022442986035,0.12596022442986035,86
wind_drought_max_hours,electrolyser_total_mw,-0.12400433008351969,0.12400433008351969,86
elec_for_heat_peak_mw,h2_network_abs_flow_mwh,0.12396917332547619,0.12396917332547619,86
cf_vres_combined_winter,curtailment_wind_mwh,-0.12391840763550833,0.12391840763550833,86
cf_vres_combined_annual,elec_transmission_total_mw,-0.12378752493665525,0.12378752493665525,86
stress_peak_block,h2_network_abs_flow_mwh,0.1234118425108695,0.1234118425108695,86
heat_demand_peak_mw,h2_network_abs_flow_mwh,0.12280860226441873,0.12280860226441873,86
wind_drought_max_hours,elec_transmission_total_mw,-0.12229719211736334,0.12229719211736334,86
wind_drought_max_hours,h2_network_abs_flow_mwh,-0.12196087774420625,0.12196087774420625,86
stress_persistence_block,curtailment_total_mwh,-0.12137919869482344,0.12137919869482344,86
cop_annual_mean,curtailment_PV_ground_mwh,-0.12131558718076509,0.12131558718076509,86
wind_drought_max_hours,storage_power_flow_mw,-0.12099498118466427,0.12099498118466427,86
stress_persistence_block,curtailment_PV_ground_share,0.1209799498911095,0.1209799498911095,86
